visitorid,itemid,date_time,purchase,num_categoryid,num_parentid,dayofweek,hour,week,previous_view,previous_transaction
799489,53268,2015-05-03 05:54:24.964,0,1,1,6,5,18,0,0
732139,61273,2015-05-03 05:55:22.402,1,1,1,6,5,18,1,0
1406808,286940,2015-05-03 05:56:27.745,0,1,1,6,5,18,0,0
409630,176701,2015-05-03 05:56:28.073,0,1,1,6,5,18,0,0
126188,322505,2015-05-03 06:04:25.206,0,1,1,6,6,18,0,0
1343350,445781,2015-05-03 06:05:01.186,0,1,1,6,6,18,0,0
1343350,445781,2015-05-03 06:05:01.186,0,1,1,6,6,18,0,0
1266225,236533,2015-05-03 06:13:14.959,0,1,1,6,6,18,0,0
1129826,446524,2015-05-03 06:14:43.430,0,1,1,6,6,18,0,0
1253834,27859,2015-05-03 06:24:03.931,0,1,1,6,6,18,0,0
946749,217605,2015-05-03 06:28:35.556,1,1,1,6,6,18,1,0
703462,441734,2015-05-03 06:32:40.962,0,1,1,6,6,18,0,0
614999,343618,2015-05-03 06:34:48.314,1,1,1,6,6,18,1,0
277257,188362,2015-05-03 06:37:58.769,0,1,1,6,6,18,0,0
713128,251535,2015-05-03 06:39:19.970,0,1,1,6,6,18,0,0
1334992,219104,2015-05-03 06:48:16.902,0,1,1,6,6,18,0,0
754060,275630,2015-05-03 06:50:16.383,0,1,1,6,6,18,0,0
1277561,37767,2015-05-03 06:54:36.860,0,1,1,6,6,18,0,0
450190,354288,2015-05-03 07:02:11.863,1,1,1,6,7,18,0,0
1045152,220174,2015-05-03 07:02:48.797,1,1,1,6,7,18,0,0
1045152,219849,2015-05-03 07:02:48.797,1,1,1,6,7,18,1,0
1045152,131385,2015-05-03 07:02:48.797,1,1,1,6,7,18,1,0
417796,370077,2015-05-03 07:44:52.122,0,1,1,6,7,18,0,0
631490,267010,2015-05-03 08:07:02.066,0,1,1,6,8,18,0,0
996991,40168,2015-05-03 08:32:01.974,1,1,1,6,8,18,1,0
987140,15948,2015-05-03 09:38:45.127,0,2,1,6,9,18,0,0
1292756,333655,2015-05-03 10:16:11.554,0,1,1,6,10,18,0,0
1080599,339885,2015-05-03 11:08:02.748,0,1,1,6,11,18,0,0
268742,159813,2015-05-03 11:54:20.957,0,2,1,6,11,18,0,0
695629,384886,2015-05-03 12:05:31.916,0,1,1,6,12,18,0,0
81775,201643,2015-05-03 13:30:02.184,0,1,1,6,13,18,0,0
913966,284526,2015-05-03 13:32:26.611,0,2,1,6,13,18,0,0
380864,408139,2015-05-03 13:41:37.090,0,1,1,6,13,18,0,0
591928,83492,2015-05-03 13:49:49.345,0,1,1,6,13,18,0,0
1298408,80435,2015-05-03 13:53:06.112,0,1,1,6,13,18,0,0
856061,231599,2015-05-03 14:11:21.128,0,1,1,6,14,18,0,0
349823,215596,2015-05-03 14:19:06.373,0,1,1,6,14,18,0,0
426297,274710,2015-05-03 14:36:51.237,1,1,1,6,14,18,1,0
1057250,355994,2015-05-03 14:37:58.745,0,1,1,6,14,18,0,0
1186876,244525,2015-05-03 14:42:00.160,0,1,1,6,14,18,0,0
1222911,370078,2015-05-03 14:42:34.056,0,1,1,6,14,18,0,0
970874,304537,2015-05-03 14:53:26.724,0,1,1,6,14,18,0,0
1208747,396445,2015-05-03 14:58:49.345,1,1,1,6,14,18,1,0
128140,240900,2015-05-03 15:02:33.270,0,1,1,6,15,18,0,0
560305,436056,2015-05-03 15:05:48.420,1,1,1,6,15,18,1,0
119507,24059,2015-05-03 15:14:57.714,0,1,1,6,15,18,0,0
1008581,252244,2015-05-03 15:16:38.832,0,1,1,6,15,18,0,0
432060,399531,2015-05-03 15:26:41.217,1,1,1,6,15,18,1,0
729806,317436,2015-05-03 15:29:19.685,1,1,1,6,15,18,1,0
53842,12404,2015-05-03 15:29:47.316,1,1,1,6,15,18,1,0
935325,226005,2015-05-03 15:35:13.372,1,1,1,6,15,18,1,0
710338,31058,2015-05-03 15:37:52.889,1,1,1,6,15,18,0,0
1093988,373105,2015-05-03 15:37:55.983,0,1,1,6,15,18,0,0
1276638,77010,2015-05-03 15:51:32.096,0,1,1,6,15,18,0,0
190672,259357,2015-05-03 15:53:20.730,1,1,1,6,15,18,0,0
1101034,274798,2015-05-03 16:00:32.934,0,1,1,6,16,18,0,0
861313,242620,2015-05-03 16:05:40.265,0,1,1,6,16,18,0,0
1390702,86218,2015-05-03 16:05:57.237,1,1,1,6,16,18,1,0
68677,200977,2015-05-03 16:13:56.067,0,1,1,6,16,18,0,0
987715,47863,2015-05-03 16:17:20.336,1,1,1,6,16,18,1,0
1120838,286578,2015-05-03 16:21:49.344,0,3,3,6,16,18,0,0
190672,259357,2015-05-03 16:26:17.689,1,1,1,6,16,18,1,1
53842,49881,2015-05-03 16:33:22.997,1,1,1,6,16,18,1,1
338431,148666,2015-05-03 16:34:17.982,0,1,1,6,16,18,0,0
429418,92466,2015-05-03 16:51:20.073,1,1,1,6,16,18,0,0
429418,29877,2015-05-03 16:51:20.120,1,1,1,6,16,18,1,1
429418,158834,2015-05-03 16:51:20.120,1,2,2,6,16,18,1,1
935325,63543,2015-05-03 16:53:04.819,1,1,1,6,16,18,1,1
935325,268755,2015-05-03 16:53:04.819,1,1,1,6,16,18,1,1
461703,76121,2015-05-03 16:55:38.920,1,1,1,6,16,18,1,0
461703,256164,2015-05-03 16:55:38.920,1,1,1,6,16,18,1,0
1029535,125016,2015-05-03 16:58:19.866,0,1,1,6,16,18,0,0
710338,294424,2015-05-03 17:00:29.944,1,1,1,6,17,18,0,1
53842,317735,2015-05-03 17:02:11.529,1,1,1,6,17,18,1,2
21733,440747,2015-05-03 17:08:47.898,0,1,1,6,17,18,0,0
190672,259357,2015-05-03 17:11:00.420,1,1,1,6,17,18,1,2
1026425,46444,2015-05-03 17:14:21.335,1,1,1,6,17,18,1,0
935325,14680,2015-05-03 17:17:35.777,1,1,1,6,17,18,1,3
626943,296707,2015-05-03 17:18:17.230,0,1,1,6,17,18,0,0
1093736,70868,2015-05-03 17:18:59.533,1,1,1,6,17,18,0,0
307276,4001,2015-05-03 17:22:10.939,1,1,1,6,17,18,1,0
710338,76121,2015-05-03 17:32:17.306,0,1,1,6,17,18,0,2
597315,412516,2015-05-03 17:32:58.875,0,1,1,6,17,18,0,0
650635,131941,2015-05-03 17:34:26.989,0,1,1,6,17,18,0,0
885223,171201,2015-05-03 17:37:50.862,1,2,1,6,17,18,0,0
885223,255336,2015-05-03 17:37:50.893,1,1,1,6,17,18,0,1
696575,272916,2015-05-03 17:50:15.479,0,1,1,6,17,18,0,0
163775,175356,2015-05-03 17:57:28.111,0,1,1,6,17,18,0,0
615027,177152,2015-05-03 18:03:09.192,0,1,1,6,18,18,0,0
976477,312877,2015-05-03 18:18:10.077,0,1,1,6,18,18,0,0
973059,46649,2015-05-03 18:21:51.180,0,1,1,6,18,18,0,0
962071,203248,2015-05-03 18:27:53.481,0,1,1,6,18,18,0,0
53842,320130,2015-05-03 18:30:36.677,1,2,1,6,18,18,0,3
1301995,43952,2015-05-03 18:37:25.439,0,1,1,6,18,18,0,0
534696,185882,2015-05-03 18:39:46.798,0,1,1,6,18,18,0,0
7682,111532,2015-05-03 18:41:01.544,0,1,1,6,18,18,0,0
53842,829,2015-05-03 18:42:41.389,1,1,1,6,18,18,1,4
53842,45738,2015-05-03 18:42:41.389,1,1,1,6,18,18,1,4
264411,191309,2015-05-03 18:45:51.223,0,1,1,6,18,18,0,0
260753,306086,2015-05-03 18:47:17.291,1,1,1,6,18,18,1,0
174357,416327,2015-05-03 18:48:52.883,0,1,1,6,18,18,0,0
260753,278700,2015-05-03 18:49:40.165,0,1,1,6,18,18,0,1
624024,131601,2015-05-03 18:50:25.463,0,1,1,6,18,18,0,0
1148414,37029,2015-05-03 19:02:47.472,0,1,1,6,19,18,0,0
1195357,290999,2015-05-03 19:07:14.106,0,1,1,6,19,18,0,0
868322,98209,2015-05-03 19:11:54.818,0,1,1,6,19,18,0,0
913454,339606,2015-05-03 19:20:23.424,1,1,1,6,19,18,1,0
218256,418794,2015-05-03 19:21:15.043,0,1,1,6,19,18,0,0
768340,203248,2015-05-03 19:23:40.679,0,1,1,6,19,18,0,0
1347554,200242,2015-05-03 19:28:15.462,0,1,1,6,19,18,0,0
889292,188383,2015-05-03 19:28:57.055,0,1,1,6,19,18,0,0
444433,185259,2015-05-03 19:33:46.903,0,1,1,6,19,18,0,0
286349,128022,2015-05-03 19:37:48.473,0,3,3,6,19,18,0,0
283445,65060,2015-05-03 19:38:46.120,0,1,1,6,19,18,0,0
338431,383662,2015-05-03 19:41:29.297,0,1,1,6,19,18,0,0
155329,266168,2015-05-03 19:55:05.142,0,1,1,6,19,18,0,0
163561,31644,2015-05-03 20:01:18.550,1,1,1,6,20,18,1,0
221825,285148,2015-05-03 20:10:59.076,0,1,1,6,20,18,0,0
254732,252280,2015-05-03 20:14:54.548,0,1,1,6,20,18,0,0
563799,205111,2015-05-03 20:16:42.992,1,1,1,6,20,18,0,0
53842,326324,2015-05-03 20:18:48.925,1,1,1,6,20,18,1,6
176379,452497,2015-05-03 20:21:56.191,1,2,2,6,20,18,1,0
556105,268605,2015-05-03 20:22:50.082,0,1,1,6,20,18,0,0
1227583,58274,2015-05-03 20:23:47.475,1,1,1,6,20,18,1,0
673776,432011,2015-05-03 20:24:42.383,1,2,2,6,20,18,1,0
1020679,23683,2015-05-03 20:27:19.152,0,1,1,6,20,18,0,0
646177,148855,2015-05-03 20:30:02.651,0,1,1,6,20,18,0,0
105360,294267,2015-05-03 20:32:51.262,0,1,1,6,20,18,0,0
53842,210087,2015-05-03 20:39:24.308,0,2,2,6,20,18,0,8
401984,200117,2015-05-03 20:41:12.842,0,1,1,6,20,18,0,0
397363,147763,2015-05-03 20:49:20.368,0,1,1,6,20,18,0,0
172634,65091,2015-05-03 20:50:37.764,1,1,1,6,20,18,1,0
37722,361106,2015-05-03 20:54:48.051,0,1,1,6,20,18,0,0
481149,71442,2015-05-03 20:56:50.066,0,1,1,6,20,18,0,0
163561,155299,2015-05-03 21:05:59.357,0,1,1,6,21,18,0,1
636520,31678,2015-05-03 21:13:02.148,1,1,1,6,21,18,1,0
109805,312574,2015-05-03 21:28:17.567,0,1,1,6,21,18,0,0
963843,130231,2015-05-03 21:28:41.818,0,2,2,6,21,18,0,0
1032156,235224,2015-05-03 21:28:58.332,0,1,1,6,21,18,0,0
883074,10107,2015-05-03 21:32:24.473,0,1,1,6,21,18,0,0
902220,309748,2015-05-03 21:32:53.216,1,1,1,6,21,18,1,0
1377305,225560,2015-05-03 21:34:05.729,0,1,1,6,21,18,0,0
67803,161453,2015-05-03 21:36:36.189,1,1,1,6,21,18,1,0
1034175,79391,2015-05-03 21:37:41.148,0,1,1,6,21,18,0,0
942909,153639,2015-05-03 21:38:25.011,0,1,1,6,21,18,0,0
53842,420528,2015-05-03 21:43:57.422,1,1,1,6,21,18,1,8
935325,313858,2015-05-03 21:49:14.810,1,1,1,6,21,18,1,4
38156,215704,2015-05-03 21:51:44.551,0,2,2,6,21,18,0,0
714669,85674,2015-05-03 21:53:41.187,0,1,1,6,21,18,0,0
53842,291877,2015-05-03 21:54:04.483,1,3,3,6,21,18,1,9
655163,433602,2015-05-03 21:59:22.695,0,1,1,6,21,18,0,0
781551,268955,2015-05-03 22:01:50.511,0,1,1,6,22,18,0,0
404798,206937,2015-05-03 22:03:00.499,1,1,1,6,22,18,1,0
720719,422537,2015-05-03 22:05:56.295,0,1,1,6,22,18,0,0
68804,171042,2015-05-03 22:06:42.024,1,1,1,6,22,18,1,0
674718,202293,2015-05-03 22:07:02.816,0,1,1,6,22,18,0,0
381222,84160,2015-05-03 22:07:55.000,1,1,1,6,22,18,1,0
1073903,281270,2015-05-03 22:13:03.922,0,1,1,6,22,18,0,0
516166,239596,2015-05-03 22:13:16.716,1,1,1,6,22,18,1,0
264863,215596,2015-05-03 22:17:36.525,0,1,1,6,22,18,0,0
300311,350291,2015-05-03 22:19:25.014,1,2,1,6,22,18,1,0
1183772,229043,2015-05-03 22:22:12.581,0,1,1,6,22,18,0,0
24574,201159,2015-05-03 22:23:45.551,0,1,1,6,22,18,0,0
1294810,278966,2015-05-03 22:26:28.790,0,1,1,6,22,18,0,0
901299,465359,2015-05-03 22:30:21.006,0,2,2,6,22,18,0,0
560305,353482,2015-05-03 22:40:19.706,0,1,1,6,22,18,0,1
171244,216095,2015-05-03 22:44:16.869,0,1,1,6,22,18,0,0
1073865,154698,2015-05-03 22:47:41.865,0,1,1,6,22,18,0,0
300826,281366,2015-05-03 22:48:29.926,0,1,1,6,22,18,0,0
53842,384723,2015-05-03 22:49:38.108,1,1,1,6,22,18,1,10
53842,293416,2015-05-03 22:49:38.124,1,1,1,6,22,18,1,11
53842,428423,2015-05-03 22:49:38.124,1,1,1,6,22,18,1,11
53842,90360,2015-05-03 22:49:38.124,1,1,1,6,22,18,1,11
216998,334366,2015-05-03 22:56:23.986,0,1,1,6,22,18,0,0
141437,446934,2015-05-03 22:56:39.274,0,1,1,6,22,18,0,0
426688,170438,2015-05-03 22:57:55.959,0,1,1,6,22,18,0,0
1288137,289160,2015-05-03 23:07:44.264,1,1,1,6,23,18,1,0
503706,418589,2015-05-03 23:12:35.227,0,1,1,6,23,18,0,0
720275,167143,2015-05-03 23:16:56.117,1,1,1,6,23,18,0,0
850937,329328,2015-05-03 23:26:51.545,0,1,1,6,23,18,0,0
792247,379498,2015-05-03 23:27:28.271,0,1,1,6,23,18,0,0
1348970,370653,2015-05-03 23:29:22.702,0,1,1,6,23,18,0,0
158013,32308,2015-05-03 23:49:24.869,0,1,1,6,23,18,0,0
84719,274798,2015-05-03 23:49:59.026,0,1,1,6,23,18,0,0
1322440,411567,2015-05-03 23:50:16.028,0,1,1,6,23,18,0,0
359216,177982,2015-05-03 23:50:45.877,0,1,1,6,23,18,0,0
1193771,291947,2015-05-03 23:54:52.562,1,1,1,6,23,18,1,0
1193771,79442,2015-05-03 23:54:52.562,1,1,1,6,23,18,1,0
53842,371445,2015-05-03 23:58:44.940,1,1,1,6,23,18,1,14
1394527,110054,2015-05-04 00:03:23.415,0,1,1,0,0,19,0,0
148116,333120,2015-05-04 00:05:02.118,0,1,1,0,0,19,0,0
703983,115809,2015-05-04 00:06:56.557,0,1,1,0,0,19,0,0
742336,122853,2015-05-04 00:09:04.121,0,1,1,0,0,19,0,0
53842,409804,2015-05-04 00:09:42.753,1,1,1,0,0,19,1,15
849420,26899,2015-05-04 00:10:54.540,0,1,1,0,0,19,0,0
1286435,353355,2015-05-04 00:12:14.218,0,1,1,0,0,19,0,0
995314,107972,2015-05-04 00:15:28.048,1,2,1,0,0,19,1,0
1292703,385769,2015-05-04 00:20:45.297,1,1,1,0,0,19,1,0
53842,305503,2015-05-04 00:22:04.610,1,1,1,0,0,19,1,16
932151,252765,2015-05-04 00:24:41.113,1,1,1,0,0,19,1,0
932151,218648,2015-05-04 00:24:41.176,1,1,1,0,0,19,1,1
365315,218771,2015-05-04 00:27:17.763,1,1,1,0,0,19,1,0
365315,146274,2015-05-04 00:27:17.794,1,1,1,0,0,19,1,1
163561,284433,2015-05-04 00:27:58.312,0,1,1,0,0,19,0,2
719670,193853,2015-05-04 00:28:15.395,1,1,1,0,0,19,1,0
579088,48213,2015-05-04 00:29:26.359,0,2,2,0,0,19,0,0
168289,61298,2015-05-04 00:32:19.650,1,1,1,0,0,19,1,0
214117,402521,2015-05-04 00:33:30.315,0,1,1,0,0,19,0,0
460412,197852,2015-05-04 00:35:33.156,1,1,1,0,0,19,0,0
702959,179991,2015-05-04 00:37:54.797,0,1,1,0,0,19,0,0
967654,127712,2015-05-04 00:43:00.653,0,1,1,0,0,19,0,0
604492,389197,2015-05-04 01:04:12.777,0,1,1,0,1,19,0,0
343328,29001,2015-05-04 01:05:18.264,0,1,1,0,1,19,0,0
163561,37254,2015-05-04 01:05:43.213,1,2,2,0,1,19,1,2
1133157,383087,2015-05-04 01:06:43.100,0,1,1,0,1,19,0,0
1279042,316183,2015-05-04 01:10:01.675,1,1,1,0,1,19,1,0
60526,303679,2015-05-04 01:16:34.139,0,1,1,0,1,19,0,0
1197182,418729,2015-05-04 01:21:36.624,0,1,1,0,1,19,0,0
61449,277556,2015-05-04 01:27:40.681,0,1,1,0,1,19,0,0
1098896,110302,2015-05-04 01:30:43.300,0,1,1,0,1,19,0,0
4365,21853,2015-05-04 01:31:28.746,0,1,1,0,1,19,0,0
132953,10076,2015-05-04 01:33:20.588,0,1,1,0,1,19,0,0
569034,159306,2015-05-04 01:34:29.142,0,1,1,0,1,19,0,0
519743,245418,2015-05-04 01:35:12.423,0,1,1,0,1,19,0,0
901099,369447,2015-05-04 01:40:27.449,0,1,1,0,1,19,0,0
1172381,59417,2015-05-04 01:49:50.209,0,1,1,0,1,19,0,0
53842,320130,2015-05-04 01:55:45.767,1,2,1,0,1,19,1,17
1023937,253382,2015-05-04 02:06:16.175,0,1,1,0,2,19,0,0
556819,128731,2015-05-04 02:11:47.245,0,1,1,0,2,19,0,0
1195302,394542,2015-05-04 02:13:45.421,0,1,1,0,2,19,0,0
215069,80435,2015-05-04 02:14:03.693,0,1,1,0,2,19,0,0
935325,87740,2015-05-04 02:20:00.192,1,1,1,0,2,19,1,5
216650,340921,2015-05-04 02:22:57.444,1,1,1,0,2,19,1,0
776161,293256,2015-05-04 02:35:01.019,0,1,1,0,2,19,0,0
187656,173970,2015-05-04 02:41:07.939,0,1,1,0,2,19,0,0
934739,360873,2015-05-04 02:44:17.873,0,1,1,0,2,19,0,0
847880,158666,2015-05-04 02:50:32.511,0,2,2,0,2,19,0,0
814242,456895,2015-05-04 02:58:30.819,0,1,1,0,2,19,0,0
675997,305381,2015-05-04 03:05:07.962,0,1,1,0,3,19,0,0
132676,381613,2015-05-04 03:23:06.729,1,1,1,0,3,19,0,0
132676,338939,2015-05-04 03:23:06.745,1,1,1,0,3,19,0,1
132676,104116,2015-05-04 03:23:06.745,1,1,1,0,3,19,0,1
132676,271823,2015-05-04 03:23:06.776,1,1,1,0,3,19,0,3
592059,229857,2015-05-04 03:24:17.020,0,1,1,0,3,19,0,0
449388,295613,2015-05-04 03:36:23.768,0,1,1,0,3,19,0,0
1104438,97890,2015-05-04 03:36:58.577,0,1,1,0,3,19,0,0
297562,134223,2015-05-04 03:37:50.807,0,1,1,0,3,19,0,0
771200,118382,2015-05-04 03:43:19.658,0,1,1,0,3,19,0,0
729300,303776,2015-05-04 03:45:44.437,0,1,1,0,3,19,0,0
995750,273872,2015-05-04 03:51:00.390,0,1,1,0,3,19,0,0
156622,340808,2015-05-04 03:57:30.479,1,1,1,0,3,19,1,0
474790,51360,2015-05-04 04:04:57.641,0,1,1,0,4,19,0,0
1129254,190643,2015-05-04 04:10:58.015,0,1,1,0,4,19,0,0
91843,44803,2015-05-04 04:11:28.108,0,1,1,0,4,19,0,0
1022144,357615,2015-05-04 04:12:06.090,0,1,1,0,4,19,0,0
1264012,152165,2015-05-04 04:18:20.367,0,1,1,0,4,19,0,0
243592,295613,2015-05-04 04:19:29.917,1,1,1,0,4,19,1,0
653779,391837,2015-05-04 04:23:58.757,0,1,1,0,4,19,0,0
811978,46156,2015-05-04 04:26:07.560,1,2,2,0,4,19,1,0
795628,235604,2015-05-04 04:30:56.536,0,1,1,0,4,19,0,0
600589,369447,2015-05-04 04:30:58.073,1,1,1,0,4,19,1,0
600589,41351,2015-05-04 04:30:58.073,1,1,1,0,4,19,1,0
600589,274435,2015-05-04 04:30:58.073,1,1,1,0,4,19,1,0
319544,465511,2015-05-04 04:37:44.497,0,1,1,0,4,19,0,0
504402,213261,2015-05-04 04:46:57.737,0,1,1,0,4,19,0,0
281100,128918,2015-05-04 04:48:46.544,0,1,1,0,4,19,0,0
988788,197967,2015-05-04 04:58:24.275,0,2,1,0,4,19,0,0
471519,466830,2015-05-04 05:14:53.740,0,1,1,0,5,19,0,0
1382123,228377,2015-05-04 05:14:55.241,0,1,1,0,5,19,0,0
1291892,370838,2015-05-04 05:19:27.095,1,1,1,0,5,19,1,0
1137720,107521,2015-05-04 05:22:58.116,0,1,1,0,5,19,0,0
1176899,369447,2015-05-04 05:26:44.563,1,1,1,0,5,19,1,0
231897,161386,2015-05-04 05:30:48.357,0,1,1,0,5,19,0,0
1212365,427189,2015-05-04 05:32:19.916,0,3,2,0,5,19,0,0
219108,356475,2015-05-04 05:43:48.461,0,1,1,0,5,19,0,0
845279,461608,2015-05-04 05:44:33.967,0,1,1,0,5,19,0,0
693125,173974,2015-05-04 05:48:15.193,0,2,2,0,5,19,0,0
422607,359809,2015-05-04 05:53:08.741,0,1,1,0,5,19,0,0
577707,23533,2015-05-04 05:58:23.767,0,1,1,0,5,19,0,0
736846,255741,2015-05-04 06:05:43.444,1,1,1,0,6,19,1,0
1354143,347576,2015-05-04 06:08:36.580,0,1,1,0,6,19,0,0
433031,179436,2015-05-04 06:20:19.773,1,1,1,0,6,19,1,0
1131547,217352,2015-05-04 06:26:23.957,0,1,1,0,6,19,0,0
254275,213153,2015-05-04 06:33:22.238,0,1,1,0,6,19,0,0
1130635,44646,2015-05-04 06:41:29.480,1,1,1,0,6,19,1,0
696774,294267,2015-05-04 06:55:47.708,1,1,1,0,6,19,1,0
1262351,7943,2015-05-04 06:58:37.032,1,1,1,0,6,19,1,0
992592,408857,2015-05-04 07:04:41.608,0,1,1,0,7,19,0,0
578977,9877,2015-05-04 07:23:54.892,0,1,1,0,7,19,0,0
1176550,120373,2015-05-04 07:26:37.360,1,1,1,0,7,19,1,0
719407,458594,2015-05-04 07:46:00.148,0,1,1,0,7,19,0,0
452981,315543,2015-05-04 07:50:01.104,0,1,1,0,7,19,0,0
646169,200505,2015-05-04 08:57:37.261,1,1,1,0,8,19,1,0
1373637,304669,2015-05-04 09:29:23.802,0,2,2,0,9,19,0,0
742477,176892,2015-05-04 12:14:44.639,0,1,1,0,12,19,0,0
292505,303341,2015-05-04 13:14:12.399,0,1,1,0,13,19,0,0
802910,187533,2015-05-04 13:57:42.960,0,1,1,0,13,19,0,0
474108,83193,2015-05-04 14:04:46.196,0,1,1,0,14,19,0,0
1085571,157585,2015-05-04 14:23:41.490,1,1,1,0,14,19,1,0
71927,84160,2015-05-04 14:33:14.023,1,1,1,0,14,19,1,0
1269642,245168,2015-05-04 14:45:31.215,1,1,1,0,14,19,1,0
1012498,356084,2015-05-04 15:11:48.098,0,1,1,0,15,19,0,0
710338,96127,2015-05-04 15:17:08.611,1,1,1,0,15,19,1,2
827012,251349,2015-05-04 15:23:15.830,0,1,1,0,15,19,0,0
1234703,356764,2015-05-04 15:31:55.392,0,1,1,0,15,19,0,0
1234703,428949,2015-05-04 15:33:47.556,0,1,1,0,15,19,0,0
1089518,301770,2015-05-04 15:35:03.527,0,1,1,0,15,19,0,0
221176,197919,2015-05-04 15:37:00.961,1,1,1,0,15,19,1,0
705174,162745,2015-05-04 15:41:42.526,1,1,1,0,15,19,1,0
231565,316140,2015-05-04 15:42:05.617,1,2,2,0,15,19,1,0
763106,75920,2015-05-04 15:43:19.615,0,1,1,0,15,19,0,0
505988,84160,2015-05-04 15:47:11.345,1,1,1,0,15,19,1,0
138131,61716,2015-05-04 15:59:58.661,1,1,1,0,15,19,1,0
868541,382674,2015-05-04 16:01:04.426,1,1,1,0,16,19,1,0
662342,290999,2015-05-04 16:01:20.650,0,1,1,0,16,19,0,0
710338,77587,2015-05-04 16:01:59.837,1,1,1,0,16,19,1,3
591104,403146,2015-05-04 16:15:41.671,0,1,1,0,16,19,0,0
34837,322508,2015-05-04 16:22:58.843,0,1,1,0,16,19,0,0
406875,362216,2015-05-04 16:23:09.681,0,1,1,0,16,19,0,0
1073661,191059,2015-05-04 16:29:14.091,0,2,2,0,16,19,0,0
574590,128209,2015-05-04 16:29:25.809,0,1,1,0,16,19,0,0
696393,445351,2015-05-04 16:34:09.324,1,1,1,0,16,19,0,0
710338,450950,2015-05-04 16:34:24.893,1,1,1,0,16,19,0,4
598899,114555,2015-05-04 16:35:00.897,0,1,1,0,16,19,0,0
868541,242884,2015-05-04 16:36:16.963,0,1,1,0,16,19,0,1
556819,78163,2015-05-04 16:37:56.324,1,1,1,0,16,19,1,0
556819,78163,2015-05-04 16:39:53.074,1,1,1,0,16,19,1,1
937063,431472,2015-05-04 16:46:20.665,0,1,1,0,16,19,0,0
868541,136523,2015-05-04 16:53:11.183,1,2,1,0,16,19,1,1
650728,122162,2015-05-04 16:55:31.645,0,1,1,0,16,19,0,0
147096,277767,2015-05-04 16:55:55.820,1,1,1,0,16,19,1,0
1225060,457231,2015-05-04 17:03:20.085,0,3,3,0,17,19,0,0
327420,89587,2015-05-04 17:06:41.977,0,1,1,0,17,19,0,0
574661,249130,2015-05-04 17:07:02.872,1,1,1,0,17,19,1,0
34951,463280,2015-05-04 17:08:15.258,1,1,1,0,17,19,1,0
34951,12217,2015-05-04 17:08:15.258,1,1,1,0,17,19,1,0
163561,197919,2015-05-04 17:08:22.605,0,1,1,0,17,19,0,3
868541,442725,2015-05-04 17:10:29.747,1,1,1,0,17,19,1,2
868541,316255,2015-05-04 17:10:29.763,1,1,1,0,17,19,1,3
1375597,297398,2015-05-04 17:11:18.339,0,1,1,0,17,19,0,0
